ID #,Date,Link,Question,Quote
2096,8/23/11,http://www.huffingtonpost.com/margie-goldsmith/2-million-santa-fe-treasu_b_932299.html,N/A - Consolidated quotes appearing throughout the article.,"Every day, people call begging for clues. The other day, I had 21 email requests. One man asked if he should buy a topographical map and I told him he‰Ûªd be better served reading the book again... All you have to do is think about the nine clues and follow them in order....Okay, I‰Ûªll tell you what I told a woman from Nevada who called and said she knew where the treasure was, but was incapacitated so would I please get it for her. I said, ‰Û÷Well, you tell me where it is, and I‰Ûªll bring it to you.‰Ûª The woman wanted an additional clue so I told her it‰Ûªs more than 300 miles southwest of Toledo."
2103,2/4/17,http://mysteriouswritings.com/six-questions-with-forrest-fenn-and-the-thrill-of-the-chase-treasure-hunt/,"Even today, after more than six years of people searching, and after all the news coverage, articles, and stories written about your secreted treasure, some people are just learning about your Thrill of the Chase treasure hunt and getting involved. It continues to inspire. Do you have any advice for these new people? How should they begin the search six years after so many others? Do you feel they are at any disadvantage?","No, fresh eyes and new thinking might provoke a winning idea. I would advise new searchers to look for the clues in my poem and try to marry them to a place on a map. It seems like the longer one thinks about the search the more they complicate the problem."
2110,2/4/17,http://mysteriouswritings.com/six-questions-with-forrest-fenn-and-the-thrill-of-the-chase-treasure-hunt/,"Many people wonder about the autobiography sealed in the chest. Although tiny in size, it is sure to be an immense pleasure to read. Will there be any surprises for the reader?","About 1990 or so, I learned that my daughters (now ages 56 and 57) didn‰Ûªt know who Clark Gable was. I was shocked and that‰Ûªs when I decided to record my family history (my autobiography). I wanted them to know as much as I could remember about my life and the events that largely shaped who I am today, and them, and theirs, in turn. I didn‰Ûªt have a computer so for several years I jotted remembrances in pencil on a yellow pad, starting with an incident that happened when I was about one. Yes, I remember it vividly. I don‰Ûªt think my story would be interesting to the average reader."
2117,2/4/17,http://mysteriouswritings.com/six-questions-with-forrest-fenn-and-the-thrill-of-the-chase-treasure-hunt/,"Also, since talking about books, how is your book called ‰Û÷Closet Stories of Taos‰Ûª coming along? The title suggests information for the book would be difficult to discover. How did you come by the information? Can you share something interesting now?","I have largely retired from book writing, although I have three more in my computer, all over half finished. But my calendar is running out of pages and I am not distressed by realizing that no shelf will hold any of those books. I have largely retired from book writing, although I have three more in my computer, all over half finished. But my calendar is running out of pages and I am not distressed by realizing that no shelf will hold any of those books. The one I like best is Closet Stories of Taos. It‰Ûªs a gossip book about the artists and characters who lived in that little town at the turn into the 20th century; Doughbelly Price. Mace McHorse, Long John Dunn, Teresita Ferguson, Arthur Manby, and the artists. During my gallery days I purchased the estates of several early Taos artists, and acquired the personal papers of a few more. Therein I learned the juicy flavors that make that book so interesting. I tell the story about Long John Dunn (very few people know that wasn‰Ûªt his real name). Everyone loved him although he killed two men in Texas. He was on trial for cattle rustling but jumped through a window and on the first horse he saw. And he picked up a rope that was lying on the ground, and made good his escape through a thunderstorm of bullets and bad language. He said he was miles down the road before he realized there was a horse tied to the rope he picked up."
2124,2/4/17,http://mysteriouswritings.com/six-questions-with-forrest-fenn-and-the-thrill-of-the-chase-treasure-hunt/,"I‰Ûªm wondering if you could create a day, what would it be filled with? Is there something you wanted to explore but the opportunity never presented itself to fully take hold of? And then I‰Ûªm wondering if you would be willing to share what a day in your life is like now? Do you wish it to be different in anyway or do you feel the contentment of a life being well lived?","Jenny, I must laugh at the question. My answer begs you to give me forty more years of life and see what happens. My 86 years of experiences have filled my mind with many things I would like to do. There is so much to be learned by failing, and I may be the world‰Ûªs leading authority on that subject. My days now are filled with tending to domestic chores, an occasional lunch with friends, and compensating."
2131,2/4/17,http://mysteriouswritings.com/six-questions-with-forrest-fenn-and-the-thrill-of-the-chase-treasure-hunt/,"I‰Ûªve heard our adorable Little Girl from India decided to start writing a Little Kid from PeÌ±asco. They are fully enjoying and excitedly exploring areas they feel your treasure poem could lead to. They‰Ûªve researched via maps, history books, and the internet. However, since she has been told she can‰Ûªt get closer than two clues to the treasure, she‰Ûªs planning a trip to not only personally meet the Little Kid from PeÌ±asco, but to search the Rockies for your treasure. How do you imagine their search will go? Can she now find the treasure?","Some of those kids from PeÌ±asco are very bright. The treasure will be found by someone who followed the clues to the location. To me, that is the only plausible recipe."
2138,2/4/17,http://mysteriouswritings.com/six-questions-with-forrest-fenn-and-the-thrill-of-the-chase-treasure-hunt/,"The following quote inspires me to do more and to realize each moment of the day spent is an investment into what we leave behind;åÊ‰Û÷The Goal isn‰Ûªt to live forever but to create something that will‰Ûª.åÊYou‰Ûªre living a grand life, and have created things which will live on when gone. Besides the Chase, which I know fills hearts around the world, what are some other investments made in your life which offer warm smiles to you now, knowing they were worthwhile and will live on too?","Thanks for that Jenny. My family has been my biggest investment and has brought the most important rewards. My memory is filled with little pleasures that are renewed every time I think of them. I remember when my two daughters were about 12 and 13. They were doing little irritating things that kids that age do. One was staying up too late, and another was talking on the phone too much. Our home phone was also our business phone, and we had only one line. So one day I called them together for a meeting. I told them that I was proud of the way they were conducting themselves. I said,åÊ‰ÛÏBecause you are so responsible your mother and I have decided to let you make all of the decisions related to your personal life. But if we discover that you can‰Ûªt handle those responsibilities we will continue making decisions for you.‰ÛåÊIt was so funny, because they seemed to grow up overnight. They stopped doing most of the things that were irritating to me. I guess all families have similar stories. Plus, some learned people will diss me for saying this, but I believe not having much of a education gave me an advantage in some important ways. Not knowing what I was doing forced me to learn fast, and to not test the depth of the water with both feet. A few very important breaks luckily came to me accidentally.The military taught me discipline, gave me purpose, and demanded a good work code. Being a fighter pilot taught me to think fast and to depend on myself because most of the time there no one else was around. Owning a retail business taught me to hire people who were smarter than I was, and then sit down and leave them alone.My assets are not unique to me but I was savvy enough to take advantage of what I had: imagination and guts, an awesome twosome. I had the ability to make important decisions right now and the wisdom to change them just as fast if necessary. And I was willing to hustle hard. One of my rules was, ‰ÛÏShow me a man who owns a business and works an eight hour day, and I‰Ûªll show you a failure.‰Û"
2145,2/4/17,http://mysteriouswritings.com/six-questions-with-forrest-fenn-and-the-thrill-of-the-chase-treasure-hunt/,"After each year‰Ûªs questions, I begin to think ‰Û÷oh maybe I should have asked that one instead‰Ûª or ‰Û÷I wonder if you would have rather answered something else.‰Ûª So my last question now is to ask ‰Û÷is there a question you would like me to ask, and then will you answer it? I‰Ûªm always just so honored to share your words and I don‰Ûªt want to limit any you might want to share with everyone.","Jenny, you are a dichotomy in its greatest moment, and an aberration also. Your mind is always seeking and planning alternatives. Reminds me of the reporter who asked,åÊ‰ÛÏOther than that Mrs. Lincoln, how was the show.‰ÛåÊI have studied your web site and seen how you are so in control. I have spent hours with you and your husband, and have noticed how well you use understatement to your advantage. I think you are baiting me with your question, but I will answer it anyway. I see a rare opportunity so I must give this question a lot of thought.\n\nHmmm. OK:\n\nForrest, You seem to have a lot of confidence and believe you can do anything. Do you think you could have been good artist?\n\nAnswer: NO.\n"
2152,2/4/16,http://mysteriouswritings.com/six-questions-with-forrest-fenn-over-five-years-of-the-thrill-of-the-chase/,"Our hearts and prayers go out to all those connected to the recent disappearance of a fellow searcher while out on the hunt. The overwhelming support of ‰Û÷Fenners‰Ûª to bring him home reveals the altruism this group embraces. A powerful, loyal, and admirable community, not only in this time of trial, but at other times too, has been created and realized. Did you ever expect the Thrill of the Chase to develop and bring together such an honorable bunch?","Yes Jenny, because that‰Ûªs who we are as a people. When times get tough we gather together and help each other. Before Pearl Harbor, when a senior Japanese general was asked what he thought about invading America. He advised against it. He said, ‰ÛÏ‰Û_because there will be a bullet behind every blade of grass.‰Û"
2159,2/4/16,http://mysteriouswritings.com/six-questions-with-forrest-fenn-over-five-years-of-the-thrill-of-the-chase/,"Your memoir, The Thrill of the Chase, was released in the fall of 2010, and so it has been over five years since you first offered the choice to get out, explore, enjoy, and find your million-dollar treasure. Numerous people have taken you up on that dare and have experienced adventures of a lifetime. They might not have found your chest of gold, but they have discovered treasures of a different kind. How does knowing this affect you? Is the Chase living up to your original wish for it?","The value of the treasure seems to change with everyone who writes about it, but that doesn‰Ûªt matter. I feel personally rewarded by knowing that maybe 65,000 people have ventured into the Rocky Mountains looking for the gold and jewels. Nearly all who write me say that the thrills and adventures are more than worth their effort, and many plan to return again."
2166,2/4/16,http://mysteriouswritings.com/six-questions-with-forrest-fenn-over-five-years-of-the-thrill-of-the-chase/,,Searchers speak to me about their search places only in generalities. I don‰Ûªt know that anyone has been closer to the treasure than about 200‰Ûª.
2173,2/4/16,http://mysteriouswritings.com/six-questions-with-forrest-fenn-over-five-years-of-the-thrill-of-the-chase/,"You have commented many times your chest of gold is hidden somewhere special to you. That the moment you thought about hiding the chest, you knew right where you were going to conceal it. I‰Ûªm sure you have other places you consider special. Would you be willing to share some of these, and why you find them so?","No other hiding place was ever seriously considered Jenny. There are places near where I grew up that are dear to me, just like everyone else. If I had it all to do over again the results would be the same, and I can‰Ûªt think of anything I would change. I feel fortunate that my poem said exactly what I wanted it to say."
2180,2/4/16,http://mysteriouswritings.com/six-questions-with-forrest-fenn-over-five-years-of-the-thrill-of-the-chase/,"Your treasure hunt has inspired people worldwide to discover history, culture and nature, but many people, (even in the US) might be deterred because they don‰Ûªt live near the Rockies or can‰Ûªt afford to travel. Should they be deterred? Can a little girl in India, who speaks good English, but only has your poem and a map of the US Rocky Mountains, work out where the treasure is? And would she be confident as she solves each clue, or only confident when she has solved them all?","I wish I had another treasure to hide in the Appalachians. The little girl in India cannot get closer than the first two clues. There are many disabled people who are deeply into maps and geography, and they are having a lot of fun."
2187,2/4/16,http://mysteriouswritings.com/six-questions-with-forrest-fenn-over-five-years-of-the-thrill-of-the-chase/,"The Thrill of the Chase has become part of many people‰Ûªs lives. People from across the world are searching for your treasure and are determined to not stop searching until it is found. They are fully enjoying the Thrill of the Chase and are in for the long term, if need be. What thoughts, advice, reminders, etc. would you like to most offer them?","I applaud those who are staying in the search, and enjoying what nature has to offer. I will reiterate that the story is real, the chest is where I left it, and it is not in a dangerous place. At age 85 I could go back and get it. But any place can become dangerous for anyone who violates the common sense rules of the chase. Stay out of the mountains in the winter time when it is cold and snow covers the ground.f"
2194,2/4/15,http://mysteriouswritings.com/six-questions-yet-again-with-forrest-fenn-always-a-treasure/,"Enthusiasm towards finding your treasure continues to remain strong.åÊ So many people are enjoying the wonderful opportunity you have given them for such a bold adventure. Considering the many years the hunt has been going on, and from your perspective and interaction with searchers, do you feel searchers are becoming closer to solving the clues to the treasure, or further away? Do you feel over time, some searchers have forgotten beginning basics or thoughts they once had, and might benefit going back to them?","There‰Ûªs a lot brain power being expended on the blogs by some pretty bright people Jenny, and it seems they are having fun. But the great preponderance of searchers don‰Ûªt comment publically. Very few tell me exactly where they are looking so I don‰Ûªt know how close they are to the treasure. I‰Ûªve said searchers should go back to the poem so many times that I don‰Ûªt want to say it again here."
2201,2/4/15,http://mysteriouswritings.com/six-questions-yet-again-with-forrest-fenn-always-a-treasure/,"You have written quite a few books on varying subjects; and if you consider and combine the numerous ‰Û÷Scrapbooks, Vignettes, Speed Bumps‰Ûª, etc onåÊDal‰Ûªs site, and the stories/answers to questionsåÊhere on Mysterious Writings, you could say you have even written another book!; maybe call it; ‰Û÷Short Snippets from Forrest Fenn‰Ûª. What do you enjoy most about writing these?åÊ I know we all love them lots!","In those stories I‰Ûªm just looking back and talking to myself most of the time. It‰Ûªs fun to be reminded of details I had almost forgotten. Hopefully, readers 500 years from now will find my tales entertaining."
2208,2/4/15,http://mysteriouswritings.com/six-questions-yet-again-with-forrest-fenn-always-a-treasure/,,I don‰Ûªt want to broaden the clues and hints I‰Ûªve written about by pointing them out. What surprises me a little is that nobody to my uncertain knowledge has analyzed one important possibility related to the winning solve.
2215,2/4/15,http://mysteriouswritings.com/six-questions-yet-again-with-forrest-fenn-always-a-treasure/,"Family, friends, memories, etc. are of course some of the greatest treasures; The Thrill of the Chase has given a larger awareness of this to searchers. Thank you.åÊ But has The Thrill of the Chase given this to you as well?åÊ How has the Chase affected you over these years?","I wrote that book when I was full of wishful thinkings. I wanted to get people interested, energized, and outside. That has happened in such a way that now I live my life vicariously through what I have motivated them to do."
2222,2/4/15,http://mysteriouswritings.com/six-questions-yet-again-with-forrest-fenn-always-a-treasure/,"If you (with Peggy) had another 100 years to live (knew it and felt like it), what are some things you would definitely like to do that you feel time isn‰Ûªt allowing you to do now?","Great question Jenny, but I don‰Ûªt know how to respond perceptively or measure the results of my life accurately. During times when I was focused, thinking, and working long hours, I thought that was the only way. Now my wife and I are contented in our singular space where tranquility is important. Maybe it‰Ûªs just an age thing. I could make an argument to the contrary also."
2229,2/4/15,http://mysteriouswritings.com/six-questions-yet-again-with-forrest-fenn-always-a-treasure/,"Since hiding your treasure chest, your life has certainly gone through change. Do you ever consider sliding into the background of the hunt and saying nothing? And would you rather be remembered for giving a treasure away now or remembered to have hidden a treasure for all to continuously seek and enjoy in the Chase?","It might be better for me to move farther away from the story Jenny, but I have never been a successful bystander. What searchers say and think is interesting to me. No one is giving the treasure away. Whoever finds it will have paid their dues and earned the prize. When that happens is incidental, and it is of no consequence that I be remembered. But it is important that the mystery and intrigue of the story continues to excite families and motivate them to get out into the mountains. That has always been my goal."
2236,2/4/14,http://mysteriouswritings.com/six-questions-more-with-forrest-fenn/,"MyåÊprevious 6 questionsåÊwere asked shortly before last year‰ÛªsåÊFebruary 27th segment of the Today Show. Reporting on your extraordinary treasure hunt, it resulted in an explosion of new seekers from all across the world. What are some of your thoughts about the flurry of activity over the past year?åÊ Did the excitement towards the Chase surprise you in any way? Does it make you think the chest might be found earlier than first thought?","It is interesting to know that a great number of people are out there searching. Many are giving serious thought to the clues in my poem, but only a few are in tight focus with a word that is key. The treasure may be discovered sooner than I anticipated."
2243,2/4/14,http://mysteriouswritings.com/six-questions-more-with-forrest-fenn/,"Many incredible, loving, adventurous, and fun stories are being lived and shared because ofåÊThe Thrill of the Chase. Even though these hopes were in your mind when writing the book and poem, what are you finding most rewarding about them?",One man said he and his brother dug for buried treasures when they were kids in North Carolina but had not spoken in 25 years. He said he read my book and called his brother. Now they are reunited and searching for my treasure. Children have the greatest imagination because their thoughts run free.
2250,2/4/14,http://mysteriouswritings.com/six-questions-more-with-forrest-fenn/,,After my Thrill of the Chase book was published my Too Far to Walk book begged to be written. It was easy because I just told some stories and illustrated them with photos from my scrap books. I would encourage everyone to write their memoir. The hardest part is sitting down and getting started.
2257,2/4/14,http://mysteriouswritings.com/six-questions-more-with-forrest-fenn/,"I feel each person finds himself drawn to a different place; for me it is the beach.åÊ I love the warmth of the sun mixed with a cooling breeze and the humbling feeling I get while looking endlessly out into the ocean and listening to the waves. You mention inåÊThe Thrill of the ChaseåÊit is the mountains which continue to beckon you, and that they always will.åÊ What is it about the mountains that make them so special for you?åÊ And when did you first realize it?",The mountains are full of activity that fills me with wonder.åÊ One of my earliest recollections as a boy was to turn over a rotting log in the forest and watch as a hundred little critters scurried around trying to decide what to do. It‰Ûªs nature in its rawest moment. I find solace in the solitude of the trees.
2264,2/4/14,http://mysteriouswritings.com/six-questions-more-with-forrest-fenn/,"The meticulous work documented and described in your book,åÊThe Secrets of San Lazaro Pueblo, certainly express an appreciation and respect for the past.åÊ You mention, ‰ÛÏEach artifact that is not recovered is a book that will not be read.‰ÛåÊ What do you hope to yet learn or find there? And while discovering the past, do you feel our modern ways are missing out on earlier enjoyments?",Archaeologists today don‰Ûªt like to excavate. Their motto is: ‰ÛÏSave the Past for the Future.‰Û I think that‰Ûªs short sighted. For me the future is five minutes from now. We unearthed the only pre-historic kachina dance masks ever found in the Southwest. Archaeologists said they didn‰Ûªt exist in prehistoric times. So we corrected some misinformation. The past should not have to wait for us any longer.
2271,2/4/14,http://mysteriouswritings.com/six-questions-more-with-forrest-fenn/,"With Spring around the corner, the planning and search for your treasure will actively pick up again.åÊ I want to thank-you for sharing some of your favorite quotes during this cooler period of the hunt. I, and many others, have enjoyed them.åÊ In many of your books, interviews, etc., you so often share beautiful words filled with timeless wisdom. Would you be willing to share a few more that hold special insights or thoughts you hold close?",It is fun to arrange words in such a way that you have to smile at the end of a sentence. \n\nAutobiographers always lean toward the subject.\n\nIt is important that I drink a martini at least once a year so I can continue to remember why I don‰Ûªt like them.\n\nAll that I could remember was that I was not supposed to forget something. He was so busy talking he didn‰Ûªt hear what I was saying.
2278,2/3/13,http://mysteriouswritings.com/six-questions-with-forrest-fenn-author-of-the-thrill-of-the-chase/,"I am sure you are aware The Thrill of the Chase has captured many hearts and ambitions of those who have read your book.åÊ Are you happy with the way the search for your hidden treasure is going?åÊ Do you have any regrets; or more importantly, would you like to see anything different in the ways people are chasing the prize?","It was fortunate that two writers, Irene Rawlings and Margie Goldsmith, liked my book enough to review it in national publications. Those stories gave it ignition. The hidden treasure story in the book provided enough propulsion to keep it in the public view long enough for word of mouth traffic to broaden its desire across America and beyond. I am more than pleased with the way it has been accepted.åÊ What I didn‰Ûªt expect was the number of people who immediately started searching maps and using Google Earth to locate their special spots. Many have read my book multiple times looking for additional clues, or even hints that might assist them in the hunt."
2285,2/3/13,http://mysteriouswritings.com/six-questions-with-forrest-fenn-author-of-the-thrill-of-the-chase/,"You mention one of your most cherished items in your collection is the first arrowhead you ever found.åÊ Over the years, what are some other relics you were most thrilled to discover?åÊ And why?","I found that little arrowhead when I was nine and it sent me on a lifelong journey of adventure and discovery. I wondered who made it and caused it to be resting at my feet for 1,000 years, waiting for me to pick it up. I still feel the excitement of that day.\n\nIn the Saharan desert of Libya I discovered thousands of war relics left over from the tank battles of WW-II: burned out tanks and shell casings were everywhere. And in close proximity were stone projectiles and crudely made hand axes that could have been 30,000 years old.åÊ I was looking at conflicts piled on top of conflicts. Who can imagine how many‰Û_"
2292,2/3/13,http://mysteriouswritings.com/six-questions-with-forrest-fenn-author-of-the-thrill-of-the-chase/,"Relating to the previous question, since you continue to explore, is there an item which you would love to find still, but just haven‰Ûªt yet?","There are so many bits of history that I would like to find: a Clovis point between the ribs of a Mammoth, a letter written by my father to my mother before they were married, a special fishing spot on the Madison River that no one alive knows about but me. The list is as endless as the search."
2299,2/3/13,http://mysteriouswritings.com/six-questions-with-forrest-fenn-author-of-the-thrill-of-the-chase/,"I think I read (but, correct me if I am mistaken), that although you would love the treasure to be found, the discovery of the chest would end the exciting mystery and adventure for those actively seeking, and this would be missed by you.åÊåÊ Would you rather the treasure stay hidden for many more years, or are you in hopes that the chest will be found soon?","I am ambivalent about the treasure being found. When it is discovered I hope it is by some deserving person who is emotionally involved and has been rewarded by the other mountain thrills that come with the chase. If it is not found for several hundred years that would be fine with me.\n\nOne thing is certain, when a person discovers that beautiful bronze chest and opens it for the first time and sees the bracelet with hundreds of rubies, emeralds, sapphires and diamonds, and the 265 gold coins and hundreds of placer nuggets, he will be in awe. It is easy for me to predict the expression on his their face."
2306,2/3/13,http://mysteriouswritings.com/six-questions-with-forrest-fenn-author-of-the-thrill-of-the-chase/,"From receiving feedback on hunter‰Ûªs ideas and methods about how to discover the location of the chest, do you feel confident your method in hiding the chest will eventually be understood and the chest be found?åÊ Please know, I am not asking for any specifics.åÊ My question is more like, do you still feel your poem will lead someone to the treasure?","The person who finds the treasure will have studied the poem over and over, and thought, and analyzed and moved with confidence. Nothing about it will be accidental. T. S. Eliot said:\n\nWe shall not cease from our exploration\nAnd at the end of all our exploring\nWill be to arrive where we started\nAnd know the place for the first time"
2313,2/3/13,http://mysteriouswritings.com/six-questions-with-forrest-fenn-author-of-the-thrill-of-the-chase/,"After reading your book, and sensing you have found a sincere peace and purpose in your life, but knowing others still struggle with this ultimate find, I wonder, what would your advice be to others for realizing the contentment it seems you now know?åÊ Do you feel the thrill of the chase (not the hunt) is vital?","There is an appropriate quote in the Duveen biography by Secrest: ‰ÛÏThey never knew that it was the chase they sought and not the quarry.‰Û I see my memoir as being a story that was ordained by some unknown hand. It came to me at age eighty as though my entire life had been waiting for that moment. The bulk of the book was written in six weeks and phrases that I had never thought of before, suddenly appeared on my computer screen. I said in the forward that the book wrote itself. I had written seven books before this one, and it seemed that none of the lines crossed where they were supposed to, metaphorically speaking.\n\nI don‰Ûªt feel qualified to give advice but a few ideas that I would like to say have guided me are:\n\nStay in your job only if you love it.\nGet out in the mountains and turn a log over to see what‰Ûªs there.\nAvoid those things that distract you from your self esteem.\nThe key word is contentment. If you can find it, everything else has already fallen in place."
2320,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,Questions from a Middle School Class,"Thank you Karen,\nI will try to answer the questions for your students. I received about 30 emails and was a little overwhelmed. That‰Ûªs why I didn‰Ûªt respond to more than I did. My answers follow the student‰Ûªs questions and are in bold type.\n\nI can see by the first question that your students probably are not asking what they want answered. I will answer the questions as presented and not judge them. I will also leave your students with a poem. It is not a reflection on anyone, or the questions, but something for them to think about.\n\nToday as I went up the stair, I met a man who wasn‰Ûªt there. He wasn‰Ûªt there again today, oh how I wish he‰Ûªd go away."
2327,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,Can you describe the first and last time you visited your secret fishing spot?,"Yes, I went in my car both times and the sun was shining."
2334,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,Also you said gold. In the canyon we are guessing the sunset make the rock look like gold is this significant to the place where you hid the treasure.,I am sure the rock would think so.
2341,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,Does the 4 line in each stanza have a significance to when you hid the treasure.,No
2348,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,Would you please give us a list of all your friends/superiors in the Vietnam war?,There are several hundred. Would you like the names alphabetical?
2355,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,Could you also tell was time of year you hid the treasure?,"Yes, it was summer."
2362,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,"We have a guess about where the treasure is hidden, and we were wondering if you could give us some feedback on it.","Yes, I think I could."
2369,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,"We believe that the treasure is hidden near agua fria peak, New Mexico.",I think that is very interesting.
2376,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,"Our group also thinks if it is not hidden there, then it might be hidden some where near Cimarron canyon.",The canyon is very long so if you go searching there please be prepared.
2383,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,Our final guess is that the treasure may be along road 156 in Wyoming. Thank you for taking time out of your day to help us in our class!,You cannot solve the problem by starting in the middle of the poem. You should start with the first clue and then solve the other eight in order.
2390,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,What is your favorite thing about the place where you hid the treasure?,It is in a place that is dear to me.
2397,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,When was the first time you went to the place where you hid the treasure?,I don‰Ûªt want to answer that question. It is more of a clue than I want to give.
2404,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,What is your favorite outside activity?,Fishing
2411,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,When was the last time you went to the place with the treasure was hidden?,A few years ago.
2418,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,Did you name the poem The Thrill of the Chase?,No. I forgot to name it.
2425,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,Were you close to your father?,I think I was closer in my memory of him than in practice.
2432,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,"Does Bighorn Canyon,WY ring any bells in your past? Or does Black Canyon,CO ring any bells?",What do you mean by ‰ÛÏringing bells‰Û
2439,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,What is the emphasis of ‰ÛÏwhere warm waters halt‰Û?,I don‰Ûªt understand the question.
2446,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,What does ‰ÛÏwarm‰Û mean to you?,It means being comfortable.
2453,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,Where did you mostly go during your lifetime?,"Europe, Asia, South America, and the United States."
2460,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,When did you find this spot to bury the treasure like year?,"I have not said that I buried it, and I don‰Ûªt want to reveal when I discovered the spot. It is too much of a clue."
2467,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,Does a blaze mean the treasure?,Not in my dictionary.
2474,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,Why did you hide the treasure where you hid it?,"I love the way you worded that question. I think you are going to be a science fiction writer. The answer is in my book, TTOTC."
2481,2/8/17,http://dalneitzel.com/2017/02/08/forrest-gets-mail-13/,What inspired your passion for art?,I have no passion for art. It was only a business to me.
